City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Cadillac,75,US,1551930671,92,44.25,-85.4,21.2,3.36
Port Keats,0,AU,1551930757,67,-14.25,129.55,95.26,7.43
Assiniboia,32,CA,1551930758,57,49.63,-105.99,-7.66,8.66
Kilindoni,88,TZ,1551930758,100,-7.91,39.67,84.01,15.03
Aklavik,75,CA,1551927600,60,68.22,-135.01,8.6,4.7
Glen Allen,1,US,1551930724,46,37.67,-77.51,30.2,3.36
Port Moresby,40,PG,1551927600,74,-9.47,147.16,84.2,4.7
Pitimbu,20,BR,1551927600,88,-7.47,-34.81,77.0,4.7
San Pedro,0,AR,1551930506,84,-33.68,-59.66,73.99,1.99
Maragogi,92,BR,1551930629,100,-9.01,-35.22,74.87,1.39
Sarlat-la-Caneda,92,FR,1551930591,87,44.89,1.22,48.2,17.22
Kloulklubed,90,PW,1551927000,74,7.04,134.26,84.2,12.75
Khuzhir,64,RU,1551930760,72,53.19,107.35,28.84,2.39
Port Hedland,0,AU,1551930761,31,-20.31,118.58,100.57,6.2
Patrocinio,36,PH,1551930761,89,13.72,123.64,80.27,5.97
Kutum,0,SD,1551930761,34,14.2,24.66,56.2,8.66
Touros,40,BR,1551927600,88,-5.2,-35.46,78.8,3.36
Schruns,8,AT,1551930756,26,47.08,9.92,60.8,21.92
Kantang,20,TH,1551927600,62,7.42,99.52,89.6,2.24
Bom Jesus,48,BR,1551930762,94,-9.08,-44.36,71.5,3.06
Nguruka,88,TZ,1551930762,100,-5.11,31.04,63.49,2.73
Cumana,20,VE,1551927600,83,10.46,-64.17,78.8,3.51
Shalinskoye,36,RU,1551930762,76,55.72,93.76,21.14,5.3
La Grande,90,US,1551930620,86,45.32,-118.09,43.0,2.28
Seoul,75,KR,1551928800,40,37.57,126.98,53.6,3.36
Divnogorsk,40,RU,1551927600,73,55.96,92.38,23.0,8.95
Senador Pompeu,80,BR,1551930763,95,-5.58,-39.37,70.78,3.18
Temba,0,ZA,1551930501,79,-25.38,28.26,64.99,1.01
Yulara,0,AU,1551927600,15,-25.24,130.99,93.2,10.29
Huarmey,80,PE,1551930582,81,-10.07,-78.15,70.06,3.62
Sola,75,NO,1551930604,75,58.89,5.65,44.6,17.22
Banda Aceh,20,ID,1551930763,83,5.56,95.32,83.2,2.51
Aswan,0,EG,1551927600,40,24.09,32.9,53.6,5.82
Yatou,75,CM,1551927600,100,3.63,9.81,77.0,1.12
Tiznit,68,MA,1551930770,96,29.7,-9.73,57.46,3.18
Palaia Fokaia,0,GR,1551930632,81,37.72,23.95,55.99,3.36
Salalah,0,OM,1551927000,64,17.01,54.1,73.4,5.82
Luanda,40,AO,1551927600,88,-8.83,13.24,78.8,4.7
Palmer,0,AU,1551930705,70,-34.85,139.16,75.99,9.17
Lakatoro,44,VU,1551930772,92,-16.11,167.42,82.97,2.95
Seydi,8,NE,1551930772,31,13.34,7.75,68.35,10.56
Byron Bay,90,AU,1551930631,88,-28.65,153.62,86.0,16.11
Merrill,40,US,1551930734,86,42.03,-121.6,39.0,5.82
Dedza,92,MW,1551930773,99,-14.38,34.33,63.62,4.85
Westport,80,IE,1551930606,84,53.8,-9.52,45.0,10.0
Kalia,48,BD,1551930773,91,23.05,89.63,71.41,4.74
Kathu,0,ZA,1551930392,69,-27.7,23.05,63.0,6.64
Hofn,92,IS,1551930773,100,64.25,-15.21,35.14,19.39
Santiago del Estero,56,AR,1551930560,92,-27.8,-64.26,72.85,3.62
Fukue,20,JP,1551930252,62,35.03,136.69,63.0,24.16
Imbituba,75,BR,1551928800,94,-28.24,-48.67,75.2,4.7
Kangaatsiaq,36,GL,1551930774,100,68.31,-53.46,15.79,15.37
Lugovoy,68,RU,1551930774,85,59.72,65.88,34.87,13.8
Akonolinga,88,CM,1551930774,96,3.77,12.24,69.2,2.06
Tiarei,75,PF,1551929583,70,-17.53,-149.33,86.0,5.82
Cabra,92,ES,1551930710,93,37.47,-4.43,45.0,4.7
Jiuquan,8,CN,1551930775,67,39.73,98.49,30.55,4.63
Emba,40,CY,1551929400,82,34.81,32.42,59.0,14.99
Kidal,0,ML,1551930775,37,18.44,1.41,49.22,2.95
Homer,90,US,1551930629,65,59.64,-151.54,41.0,5.19
Ciro Marina,0,IT,1551930775,94,39.37,17.13,58.67,17.83
Bintulu,75,MY,1551927600,88,3.17,113.03,80.6,3.36
Santa Maria,40,BR,1551927600,83,-29.69,-53.81,73.4,4.7
Makakilo City,90,US,1551930645,88,21.35,-158.09,75.2,8.05
Petropavlovsk-Kamchatskiy,75,RU,1551927600,62,53.05,158.65,24.8,8.95
Dustlik,56,UZ,1551930777,90,40.53,68.03,37.75,3.85
Alcaniz,0,ES,1551930613,54,41.05,-0.13,48.99,18.01
Darnah,8,LY,1551930778,100,32.77,22.64,59.75,5.3
Talnakh,64,RU,1551930778,81,69.49,88.39,3.1,22.86
San Carlos de Bariloche,40,AR,1551927600,71,-41.13,-71.31,51.8,19.46
Mount Isa,0,AU,1551927600,22,-20.73,139.49,96.8,14.99
Gorontalo,0,ID,1551930778,54,0.54,123.06,89.54,2.84
Saint John,40,CA,1551930577,71,45.28,-66.06,10.99,11.41
Skjervoy,20,NO,1551930779,100,70.03,20.97,27.17,17.05
Poyarkovo,12,RU,1551930779,43,49.62,128.65,35.59,4.18
Codrington,90,AU,1551930466,65,-28.95,153.24,82.4,16.11
Kargasok,92,RU,1551930779,81,59.06,80.87,25.82,10.22
Moose Factory,75,CA,1551927600,76,51.26,-80.61,-9.41,2.24
Dekar,32,BW,1551930780,52,-21.53,21.93,72.17,11.45
Chute-aux-Outardes,1,CA,1551930485,49,49.12,-68.38,10.99,8.05
Airai,80,TL,1551930780,69,-8.93,125.41,80.68,2.84
Khromtau,80,KZ,1551930780,96,50.26,58.44,34.06,14.36
Albertville,75,FR,1551930403,87,45.68,6.39,48.2,14.99
Noyabrsk,92,RU,1551930780,91,63.2,75.45,26.14,22.3
Mubende,36,UG,1551930780,94,0.56,31.4,58.99,2.84
Abha,0,SA,1551927600,87,18.22,42.5,51.8,1.72
Berlevag,76,NO,1551930781,100,70.86,29.09,25.82,13.47
Guasdualito,12,VE,1551930781,47,7.24,-70.73,86.75,8.43
Cheremukhovo,0,RU,1551930781,74,56.23,46.23,12.05,9.44
Alofi,75,NU,1551927600,69,-19.06,-169.92,82.4,11.41
Lodja,92,CD,1551930781,98,-3.52,23.6,71.14,2.28
Morant Bay,20,JM,1551927600,57,17.88,-76.41,78.8,3.36
Roald,68,NO,1551930604,74,62.58,6.12,34.0,21.92
Sangar,68,RU,1551930782,67,63.92,127.47,4.67,6.42
Iskateley,0,RU,1551930782,55,67.68,53.15,-5.68,10.45
Jeannette,75,US,1551930776,66,40.33,-79.62,19.99,8.05
Buala,56,SB,1551930782,80,-8.15,159.59,86.17,6.2
Wernberg,75,AT,1551930627,57,46.62,13.93,48.2,6.93
Paita,80,PE,1551930673,74,-5.09,-81.11,77.62,4.63
Teluknaga,20,ID,1551930743,74,-6.1,106.64,91.0,3.36
Constitucion,90,MX,1551926640,17,23.99,-104.67,64.4,8.05
Barentu,0,ER,1551930783,63,15.11,37.59,50.62,2.73
Zaraza,0,VE,1551930783,75,9.35,-65.33,76.99,13.02
Vanimo,12,PG,1551930507,100,-2.67,141.3,83.15,6.98
Nioro,0,GM,1551930783,43,13.79,-15.05,66.01,4.85
Verkhnevilyuysk,36,RU,1551930783,60,63.45,120.31,21.46,10.22
Santa Cecilia,68,CO,1551930784,96,5.35,-76.12,67.18,1.16
Pundaguitan,68,PH,1551930784,100,6.37,126.17,77.89,4.07
Zhangye,20,CN,1551930784,75,38.94,100.46,39.37,6.64
Jinxiang,0,CN,1551930784,53,35.07,116.31,47.38,4.63
Kyrylivka,32,UA,1551930785,76,47.65,37.3,27.35,2.95
Qasigiannguit,32,GL,1551927000,45,68.82,-51.19,24.8,17.22
Kieta,88,PG,1551930785,100,-6.22,155.63,80.27,3.74
Narsaq,75,GL,1551927000,34,60.91,-46.05,35.6,18.34
Mahibadhoo,8,MV,1551930785,100,3.78,72.97,82.48,6.53
Chimore,88,BO,1551930785,95,-16.98,-65.13,74.56,2.62
Presidencia Roque Saenz Pena,92,AR,1551930785,96,-26.79,-60.44,73.79,5.64
Velke Mezirici,0,CZ,1551930763,65,49.36,16.01,45.0,6.93
Clermont,8,AU,1551930708,40,-22.82,147.64,93.91,14.03
Sao Joao da Barra,68,BR,1551930786,100,-21.64,-41.05,79.55,9.44
Timbuktu,0,ML,1551930786,27,16.77,-3.01,58.45,7.65
